tStep	sim_time	part_diameter	part_height
445	446	3.93652	3.94089
446	447	3.94308	3.9475
447	448	3.94962	3.95409
448	449	3.95613	3.96065
449	450	3.96263	3.96719
450	451	3.96909	3.97371
451	452	3.97553	3.9802
452	453	3.98195	3.98667
453	454	3.98834	3.99312
454	455	3.99471	3.99954
455	456	4.00105	4.00593
456	457	4.00737	4.0123
457	458	4.01366	4.01865
458	459	4.01992	4.02497
459	460	4.02616	4.03126
460	461	4.03238	4.03753
461	462	4.03856	4.04377
462	463	4.04484	4.05012
463	464	4.05109	4.05643
464	465	4.0573	4.06271
465	466	4.06348	4.06895
466	467	4.06963	4.07517
467	468	4.07575	4.08135
468	469	4.08183	4.0875
469	470	4.08789	4.09363
470	471	4.09392	4.09972
471	472	4.09991	4.10578
472	473	4.10588	4.11182
473	474	4.11182	4.11783
474	475	4.11773	4.12381
475	476	4.12363	4.12978
476	477	4.12953	4.13575
477	478	4.13543	4.14172
478	479	4.14132	4.14769
479	480	4.14721	4.15365
480	481	4.1531	4.15961
481	482	4.15898	4.16557
482	483	4.16485	4.17151
483	484	4.17071	4.17745
484	485	4.17657	4.18337
485	486	4.18241	4.18929
486	487	4.18823	4.19519
487	488	4.19405	4.20108
488	489	4.19985	4.20696
489	490	4.20563	4.21282
490	491	4.2114	4.21867
491	492	4.21715	4.22449
492	493	4.22289	4.23031
493	494	4.2286	4.2361
494	495	4.2343	4.24188
495	496	4.23998	4.24764
496	497	4.24564	4.25338
497	498	4.25128	4.2591
498	499	4.2569	4.2648
499	500	4.2625	4.27047
500	501	4.26807	4.27613
501	502	4.27363	4.28177
502	503	4.27916	4.28739
503	504	4.28467	4.29298
504	505	4.29016	4.29855
505	506	4.29563	4.3041
506	507	4.30107	4.30963
507	508	4.30649	4.31514
508	509	4.31189	4.32062
509	510	4.31727	4.32608
510	511	4.32262	4.33151
511	512	4.32795	4.33693
512	513	4.33325	4.34232
513	514	4.33853	4.34768
514	515	4.34379	4.35302
515	516	4.34902	4.35834
516	517	4.35423	4.36364
517	518	4.35941	4.36891
518	519	4.36457	4.37416
519	520	4.3697	4.37938
520	521	4.37476	4.38454
521	522	4.37979	4.38968
522	523	4.3848	4.3948
523	524	4.38979	4.3999
524	525	4.39489	4.40513
525	526	4.39995	4.41032
526	527	4.40525	4.41575
527	528	4.41049	4.42112
528	529	4.41569	4.42645
529	530	4.42085	4.43174
530	531	4.42596	4.43698
531	532	4.43104	4.44219
532	533	4.43608	4.44737
533	534	4.44108	4.4525
534	535	4.44605	4.4576
535	536	4.45099	4.46267
536	537	4.45589	4.4677
537	538	4.46075	4.4727
538	539	4.46559	4.47767
539	540	4.4704	4.48262
540	541	4.47517	4.48754
541	542	4.47992	4.49244
542	543	4.48463	4.49734
543	544	4.48932	4.50222
544	545	4.49399	4.50709
545	546	4.49864	4.51194
546	547	4.50328	4.51679
547	548	4.50792	4.52163
548	549	4.51254	4.52645
549	550	4.51715	4.53127
550	551	4.52175	4.53608
551	552	4.52634	4.54088
552	553	4.53092	4.54567
553	554	4.53549	4.55044
554	555	4.54005	4.55521
555	556	4.5446	4.55997
556	557	4.54914	4.56472
557	558	4.55367	4.56946
558	559	4.55819	4.57419
559	560	4.5627	4.57891
560	561	4.5672	4.58362
561	562	4.57169	4.58832
562	563	4.57617	4.59301
563	564	4.58064	4.59769
564	565	4.5851	4.60236
565	566	4.58955	4.60701
566	567	4.59399	4.61166
567	568	4.59841	4.6163
568	569	4.60283	4.62093
569	570	4.60724	4.62555
570	571	4.61164	4.63016
571	572	4.61603	4.63475
572	573	4.62026	4.63922
573	574	4.62449	4.6437
574	575	4.62871	4.64816
575	576	4.63294	4.65263
576	577	4.63716	4.65709
577	578	4.64157	4.66174
578	579	4.64615	4.6666
579	580	4.6507	4.67143
580	581	4.65522	4.67623
581	582	4.65971	4.681
582	583	4.66417	4.68574
583	584	4.66861	4.69046
584	585	4.67302	4.69516
585	586	4.67742	4.69983
586	587	4.68179	4.70448
587	588	4.68614	4.70912
588	589	4.69048	4.71373
589	590	4.6948	4.71833
590	591	4.6991	4.72291
591	592	4.7034	4.72749
592	593	4.70769	4.73206
593	594	4.71199	4.73664
594	595	4.71629	4.74122
595	596	4.7206	4.7458
596	597	4.7249	4.75038
597	598	4.7292	4.75496
598	599	4.73351	4.75954
599	600	4.73781	4.76412
600	601	4.74211	4.7687
601	602	4.7464	4.77328
602	603	4.7507	4.77785
603	604	4.75499	4.78242
604	605	4.75927	4.78699
605	606	4.76355	4.79155
606	607	4.76783	4.79611
607	608	4.7721	4.80066
608	609	4.77637	4.80521
609	610	4.78063	4.80975
610	611	4.78488	4.81428
611	612	4.78912	4.81881
612	613	4.79336	4.82333
613	614	4.7976	4.82784
614	615	4.80182	4.83235
615	616	4.80604	4.83685
616	617	4.81025	4.84134
617	618	4.81445	4.84582
618	619	4.81864	4.85029
619	620	4.82282	4.85476
620	621	4.827	4.85922
621	622	4.83117	4.86367
622	623	4.83533	4.86811
623	624	4.83948	4.87254
624	625	4.84362	4.87697
625	626	4.84776	4.88139
626	627	4.85189	4.8858
627	628	4.85602	4.89021
628	629	4.86014	4.89461
629	630	4.86426	4.89901
630	631	4.86827	4.90331
631	632	4.87228	4.90761
632	633	4.87629	4.91191
633	634	4.8803	4.91621
634	635	4.88431	4.92051
635	636	4.88832	4.92482
636	637	4.89234	4.92912
637	638	4.89674	4.93383
638	639	4.90112	4.93852
639	640	4.90547	4.94318
640	641	4.90981	4.94782
641	642	4.91413	4.95245
642	643	4.91843	4.95706
643	644	4.92271	4.96165
644	645	4.92697	4.96623
645	646	4.93123	4.97079
646	647	4.93546	4.97533
647	648	4.93969	4.97987
648	649	4.94389	4.98439
649	650	4.94809	4.98889
650	651	4.95227	4.99339
651	652	4.95644	4.99787
652	653	4.9606	5.00234
653	654	4.96475	5.00679
654	655	4.96888	5.01124
655	656	4.973	5.01567
656	657	4.97711	5.0201
657	658	4.98121	5.02451
658	659	4.9853	5.02891
659	660	4.98938	5.0333
660	661	4.99344	5.03768
661	662	4.9975	5.04204
662	663	5.00154	5.0464
663	664	5.00558	5.05075
664	665	5.0096	5.05508
665	666	5.01361	5.05941
666	667	5.01762	5.06372
667	668	5.02161	5.06803
668	669	5.0256	5.07234
669	670	5.02959	5.07663
670	671	5.03357	5.08093
671	672	5.03755	5.08522
672	673	5.04153	5.08951
673	674	5.0455	5.09379
674	675	5.04947	5.09808
675	676	5.05344	5.10236
676	677	5.0574	5.10663
677	678	5.06136	5.1109
678	679	5.06532	5.11517
679	680	5.06926	5.11943
680	681	5.07321	5.12368
681	682	5.07714	5.12793
682	683	5.08107	5.13217
683	684	5.085	5.1364
684	685	5.08892	5.14063
685	686	5.09283	5.14485
686	687	5.09673	5.14906
687	688	5.10062	5.15327
688	689	5.10451	5.15746
689	690	5.10839	5.16165
690	691	5.11226	5.16583
691	692	5.11612	5.17001
692	693	5.12011	5.17429
693	694	5.12408	5.17855
694	695	5.12803	5.18279
695	696	5.13211	5.18719
696	697	5.13617	5.19156
697	698	5.1402	5.19591
698	699	5.14421	5.20023
699	700	5.1482	5.20453
700	701	5.15216	5.20881
701	702	5.15611	5.21307
702	703	5.16004	5.21731
703	704	5.16394	5.22153
704	705	5.16783	5.22573
705	706	5.17171	5.22992
706	707	5.17557	5.23409
707	708	5.17941	5.23825
708	709	5.18324	5.24239
709	710	5.18706	5.24652
710	711	5.19087	5.25063
711	712	5.19466	5.25474
712	713	5.19844	5.25883
713	714	5.20222	5.26291
714	715	5.20599	5.26699
715	716	5.20975	5.27105
716	717	5.2135	5.27511
717	718	5.21725	5.27917
718	719	5.22099	5.28322
719	720	5.22473	5.28726
720	721	5.22846	5.2913
721	722	5.23218	5.29532
722	723	5.23589	5.29935
723	724	5.2396	5.30336
724	725	5.2433	5.30737
725	726	5.247	5.31136
726	727	5.25068	5.31535
727	728	5.25436	5.31934
728	729	5.25803	5.32331
729	730	5.26169	5.32727
730	731	5.26535	5.33123
731	732	5.26899	5.33518
732	733	5.27263	5.33911
733	734	5.27626	5.34304
734	735	5.27982	5.34691
735	736	5.28339	5.35076
736	737	5.28695	5.35462
737	738	5.2905	5.35846
738	739	5.29404	5.3623
739	740	5.29758	5.36613
740	741	5.30128	5.37009
741	742	5.30495	5.37403
742	743	5.30861	5.37795
743	744	5.31226	5.38185
744	745	5.31588	5.38574
745	746	5.3195	5.38961
746	747	5.32309	5.39347
747	748	5.32695	5.39764
748	749	5.33078	5.40177
749	750	5.33458	5.40587
750	751	5.33835	5.40995
751	752	5.3421	5.414
752	753	5.34582	5.41803
753	754	5.34952	5.42203
754	755	5.35321	5.42602
755	756	5.35688	5.42999
756	757	5.36055	5.43395
757	758	5.36421	5.43791
758	759	5.36786	5.44186
759	760	5.37151	5.4458
760	761	5.37515	5.44974
761	762	5.37879	5.45367
762	763	5.38242	5.45759
763	764	5.38604	5.46151
764	765	5.38966	5.46541
765	766	5.39327	5.46931
766	767	5.39687	5.4732
767	768	5.40046	5.47709
